[General]
Name|Vickie

[Dialogues]
0|Puta merda, você demorou mesmo, né? Eu não era seu único plano para o Dia dos Namorados?
1|Talvez se eu não estivesse no frio na última hora, eu te contasse. Agora é só esperar para ver. Que amigo você é.
2|Cara, ser amigo é isso, né? Largar tudo por um amigo em necessidade, blá blá blá.
3|Chame do que quiser. Eu não curto muito essas noções antiquadas de besteira. Somos só dois velhos amigos se unindo por causa de uma festa de merda.
4|E você acha que a gente não se uniu por causa da festa? Nossa, você está partindo meu coraçãozinho sujo.
5|Quer dizer, aquela banheira de hidromassagem ali... não traz nenhuma lembrança?
6|Com certeza! E você sabe o que os amigos fazem? Eles ajudam a Vickie a entrar na casa da Madison porque ela perdeu a chave reserva. Não parece divertido?
7|Para alimentar o gato dela enquanto ela aproveita o Dia dos Namorados com a Ashley e as amigas solteiras. Parem de fazer perguntas e me ajudem a encontrar um jeito de entrar.
8|Merda, foco. Estamos aqui fora, temos que estar lá dentro. Veja o que você consegue fazer.
9|Ei, essa é uma ideia! Gostei da sua ideia sobre os seus pés. Agora use-os para subir ali e chegar até uma janela. Venha e abra a porta de correr quando estiver lá dentro.
10|Dado aberto: eu, ou como quer que vá. Suponho que vou colocar isso de novo. Muito bem... você subiu aquela sacada como um gatinho.
11|Ah, não, ele está por aqui em algum lugar. Me faz um favor e localiza ele. Agite este catnip e diga: 'Aqui, gatinho, gatinho, gatinho' até que o pequeno apareça. Vou subir as escadas para pegar outros... itens relacionados a gatos.
12|Tenho certeza. Só não cheque o andar de cima porque está cientificamente comprovado que gatos não sobem escadas. Aquela Katherine me contou esse fato científico na festa. Ok, te vejo em um instante.
13|Cara, você me deu um susto! O que eu disse sobre não vir aqui?
14|Tá, não aguento mais falar nisso. Você anda pela casa sacudindo um saco de maconha encharcado que eu achei no trabalho. Não tem gato nenhum. Eu nunca tive a chave da casa da Madison. Somos criminosos, meu amigo! B e E, PORRA!
14.1|Deixa eu ver isso. Muito alérgico... blá blá blá. Ok, você me pegou. Sem gato. Nunca tive a chave da casa da Madison. Somos criminosos, meu amigo! B e E, PORRA!
15|Porque eu sabia que Madison e Ashley teriam uma noite só de garotas para esquecer o fato de que não tinham namorados. Esse é o momento perfeito para atacar, se é que algum dia houve um.
16|Quer dizer, "roubar" é uma palavra tão dura. A Ashley acabou de voltar do Colorado, e suas redes sociais estavam cheias de fotos de todas as coisas legais que ela comprou em um dispensário. Ela voltou com pacotes de guloseimas, se é que você me entende.
17|Nunca antes! Mas estou pronta para experimentar, e quero que minha primeira vez seja com algo direto de um dispensário. Imagino que seja, sabe, mais puro ou algo assim.
18|Bem, você está com sorte, porque não estamos procurando por vegetação do dia a dia. Você pode encontrar isso por toda esta cidade. Estamos falando de mantimentos, meu amigo! Você pode não fumar, mas come. Todo mundo come.
19|Certo, vou vasculhar cada centímetro desta sala... é a melhor aposta. Mas veja o que você pode encontrar em outro lugar.
20|Ei, você encontrou alguma coisa?
21|Argh, eu sei. Essa é metade da razão pela qual estou pronto para tentar, para parar de parecer amador. Me afastei do mundo amador há anos. Então me ajude a encontrar essas goloseimas, ok? Procure por aí e veja se encontra alguma pista.
22|Discordo, gatinha. Do jeito que seu corpinho subiu naquele poste, eu poderia muito bem te chamar de Hallie Berry.
23|Você está pensando demais. Gosto de relaxar com você, e você não parece ser o tipo de pessoa que gosta de Dia dos Namorados. Imaginei que você seria o parceiro perfeito no crime, mas também alguém que não tornaria minha primeira vez ruim. Ouvi dizer que é tudo uma questão de meio ambiente.
24|Ela tinha fotos de tudo, então não me sinto mal em comprar alguma coisa. Era basicamente só doces, então aposto que é isso que vamos encontrar. Se você um dia se mexer!
25|Não sei se você percebeu, mas ainda estamos do lado de fora.
26|Cara, isso é como apertar as mãos na minha área. Semana passada, fui madrinha de uma garota com quem fiz um ménage à trois. Foi literalmente a única vez que saímos juntos.
27|Só para você saber, espertinho, a Madison e eu andamos bem próximas ultimamente. Até mandei um DVD de presente para ela há pouco tempo. Então é por isso.
28|Nossa, agora você entende por que eu precisava do espaço no bolso? Quanto a gente levou? Isso é... um pote de chocolate.
28.1|Nossa, que bom que esses shorts têm bolsos... Quanto a gente tem que carregar? Isso é... um pote de chocolate.
29|Uau, estou realmente fazendo isso! Muito bem, é hora de ver do que se trata. Você está oficialmente no esquadrão de descanso e relaxamento. Morde!
