[General]
2FAHeader|2FA
2FALabel|Código 2FA:
AddCommentWithRatingLabel|Deixe um comentário para o autor (opcional)
AddTagPlaceHolderText|Adicionar tag...
AddTagText|ADICIONAR
AllText|Todos
ConfirmAgeCheckboxLabel|Tenho pelo menos 18 anos
ConfirmPasswordFieldLabel|Confirmar senha:
ContentWarningText|Interações online e conteúdo gerado por usuários não classificados pelo PEGI
CreateDesignPresetHeader|Preset de design
CreateGroupPresetHeader|Preset de grupo
CreateText|CRIAR
CustomStoriesHeader|HISTÓRIAS PERSONALIZADAS
DeleteDesignPopupHeader|Tem certeza de que deseja excluir este design?
DeleteDesignSuccessfulDisclaimer|O design foi excluído com sucesso!
DeleteDesignSuccessfulHeader|Design excluído com sucesso
DeleteDesignText|Excluir
DeleteDesignUnSuccessfulDisclaimer|Seu design não foi excluído devido a um erro desconhecido. Tente novamente.
DeleteDesignUnSuccessfulHeader|Falha ao excluir design
DeleteDisclaimer|Uma vez excluído, o design não pode ser recuperado!
DeleteText|EXCLUIR
DesignByLabel|Design por:
DesignDownloadErrorContent|Ocorreu um erro ao baixar o design. Tente novamente. ID do design:
DesignDownloadErrorHeader|Erro ao baixar design
DesignMissingTitleDisclaimer|Escolha um título para seu design.
DesignMissingTitleHeader|Título vazio
DesignTitleTakenDisclaimer|Você já compartilhou um design com esse título. Escolha outro e tente novamente.
DesignTitleTakenHeader|Título de design já usado.
DesignUploadSuccessfulDisclaimer|Seu design foi carregado com sucesso! Você pode visualizar e gerenciar seus designs compartilhados na seção "compartilhados" do navegador de designs. Seus amigos poderão encontrá-lo pelo seu nome de usuário Eek e/ou ID do design.
DesignUploadSuccessfulHeader|Upload bem-sucedido
DesignUploadUnSuccessfulDisclaimer|Seu design não foi carregado devido a um erro desconhecido. Tente novamente.
DesignUploadUnSuccessfulHeader|Falha no upload
DownloadedDesignsTab|Baixado
DownloadedText|BAIXADO
DownloadsLabel|Downloads:
DownloadText|DOWNLOAD
DuplicateRatingsDisclaimer|(Votar mais de uma vez apagará o voto anterior)
EmailFieldLabel|Email:
Enter2FAPromptText|Digite seu código de autenticação de dois fatores:
EnterDescriptionPlaceholderText|Digite descrição...
ESRBUserGeneratedDisclaimer|Interações online e conteúdo gerado por usuários não classificados pelo PEGI
ForgotPasswordLink|Esqueceu a senha?
ForumLinkForStory|Visite a página do fórum relacionada a esta história
GenericErrorHeader|OPS...
GetDesignSuccessfulHeader|Download bem-sucedido
GetDesignUnSuccessfulDisclaimer|O design não foi baixado corretamente devido a um erro desconhecido. Tente novamente.
GetDesignUnSuccessfulHeader|Falha no download
HideDesignsICantUseLabel|Ocultar designs não utilizáveis
HideText|OCULTAR
IncludeNSFWDesignsLabel|Incluir designs marcados como NSFW
InstallButton|Instalar
InstallStoryButtonText|Instalar
LastUpdatedLabel|Última atualização:
LoggedInAsHeader|Conectado como:
LogInHeader|ENTRAR
LoginStatusBadRequestContent|O servidor não reconheceu sua solicitação de login. Verifique se o nome de usuário e a senha estão corretos e se você clicou no link do e-mail para verificar sua conta após o registro.
LoginStatusBadRequestHeader|Erro 400 Solicitação Inválida
LoginStatusExpiredOrUnauthorizedContent|Autorização de login revogada. Login não autorizado ou autorização expirada. Tente fazer login novamente.
LoginStatusExpiredOrUnauthorizedHeader|Faça login novamente
LoginStatusServerNotFoundContent|Os servidores da Eek! Games podem estar temporariamente indisponíveis. Tente novamente em alguns minutos ou atualize o jogo para a versão mais recente.
LoginStatusServerNotFoundHeader|Falha na conexão com o servidor
LoginStatusTimeOutContent|A conexão com o servidor demorou muito para reconhecer sua solicitação. Verifique sua conexão com a internet e tente novamente em alguns minutos.
LoginStatusTimeOutHeader|Tempo de conexão esgotado
LoginStatusUnknownErrorContent|Houve um problema na comunicação com o servidor ou no reconhecimento da solicitação. Tente novamente mais tarde.
LoginStatusUnknownErrorHeader|Erro desconhecido
LogoutButton|Sair
MostPopularTab|Mais populares
MostRecentTab|Mais recentes
MustLogInDisclaimer|Você precisa estar logado na sua conta Eek! Games para baixar histórias personalizadas do servidor.
MustLogInSharedDesignDisclaimer|Você precisa estar logado na sua conta Eek! Games para baixar designs personalizados do servidor.
NoneText|Nenhum
NoResultsFoundText|Nenhum resultado encontrado
NotRatedText|Ainda não avaliado.
PasswordFieldLabel|Senha:
PasswordResetEmailInvalidContent|Não encontramos nenhuma conta associada ao e-mail informado.
PasswordResetEmailInvalidHeader|Falha ao redefinir a senha
PasswordResetEmailSentContent|Enviamos um e-mail para redefinir sua senha. Pode levar até dez minutos para recebê-lo. Não se esqueça de verificar a pasta de spam.
PasswordResetEmailSentHeader|E-mail enviado
PasswordResetGenericErrorContent|Não encontramos nenhuma conta associada ao e-mail informado.
PasswordResetGenericErrorHeader|Falha ao redefinir a senha
PasswordResetTooSoonContent|Já enviamos um e-mail. Pode levar até 10 minutos para chegar e pode estar na pasta de spam. Se não chegou, aguarde alguns minutos antes de tentar novamente.
PasswordResetTooSoonHeader|Solicitação de redefinição enviada
PasswordResetUnknownIssueContent|Não conseguimos conectar com você. Nossos servidores podem estar fora do ar. Verifique sua conexão com a internet, tente novamente em alguns minutos e entre em contato pelo nosso Discord se o problema persistir.
PasswordResetUnknownIssueHeader|Falha ao redefinir a senha
PopulateDesignsUnSuccessfulDisclaimer|Não foi possível carregar os designs devido a um erro desconhecido. Tente novamente.
PopulateDesignsUnSuccessfulHeader|Falha ao carregar designs
RateDesignPopupHeader|Avalie este design
RateDesignSuccessfulDisclaimer|Obrigado. O design foi avaliado com sucesso!
RateDesignSuccessfulHeader|Avaliação de design bem-sucedida
RateDesignText|AVALIAR DESIGN
RateDesignUnSuccessfulDisclaimer|A avaliação do design falhou devido a um erro de autenticação desconhecido. Tente novamente.
RateDesignUnSuccessfulHeader|Falha na avaliação do design
RatedStoryContent|Obrigado por avaliar esta história
RatedStoryHeader|História avaliada
RateStoryButton|Avaliar história
RateStoryPopupHeader|Avalie esta história
RatingLabel|Avaliação:
RegisterNewAccountCheckboxLabel|Registrar nova conta
RegistrationStatusAlreadyRegisteredContent|Esta conta já existe. Tente redefinir a senha antes de tentar se reconectar.
RegistrationStatusAlreadyRegisteredHeader|Você já tem uma conta
RegistrationStatusDuplicateUserNameContent|Nome de usuário indisponível.
RegistrationStatusDuplicateUserNameHeader|Nome de usuário duplicado
RegistrationStatusSuccessContent|Você ainda precisa verificar sua conta. Um link de verificação será enviado por e-mail. Após clicar no link, reabra o Gerenciador de Histórias Personalizadas e faça login.
RegistrationStatusSuccessHeader|Solicitação de registro recebida
