[General]
ActionsText|Ações
AudioSettingsText|Configurações de áudio
AudioText|Áudio:
CensorNudityText|Censurar nudez:
ConfirmContinueWithoutSavingCancelText|Nem pensar
ConfirmContinueWithoutSavingConfirmText|Por favor, vai!
ConfirmContinueWithoutSavingPromptText|Continuar sem salvar causará perda de dados e muita vergonha! Tem certeza?
DLCButtonText|Baixe aqui!
DLCInfoText|(DLC não instalado)
DLCSettingsText|Configurações de DLC
DMCAModeInfoText|(Silenciar áudio com copyright)
DMCAModeLabelText|Silenciar áudio protegido:
DMCAModeTooltipText|Silenciar todo o áudio com copyright
DoneText|Feito
ExplicitContentText|Add-on de conteúdo explícito:
FontSizeText|Tamanho da fonte:
FontTypeText|Fonte:
GameplaySettingsText|Configurações de jogabilidade
GraphicsSettingsText|Configurações gráficas
InputConfigurationButtonText|Configuração de entrada
KeyboardText|Teclado
LoadGameText|Carregar partida
MainMenuText|Menu principal
MouseText|Mouse
MusicText|Música:
PauseText|Pausa
PlayChatterAudioText|Diálogos ambientais:
QuitGameText|Fechar jogo
ResetCSCPrefsText|Redefinir preferências CSC
ResetTutorialsText|Redefinir tutoriais
RestartGameText|Reiniciar
SaveGameText|Salvar partida
SettingsHeaderText|Configurações
ShowChatterSubtitlesText|Texto dos diálogos ambientais:
ShowDialogueText|Texto dos diálogos:
ShowTutorialsText|Mostrar tutorial da história:
SkipIntroCutscenesText|Pular cenas iniciais:
UseLegacyIntimacyDisclaimerTextPauseMenu|(Não recomendado)
UseLegacyIntimacyText|Sexo interativo:
