[General]
Name|Brittney

[Dialogues]
0|
0.1|Como está aproveitando seu tour autoguiado pelo meu paraíso suburbano? Alguma sorte em pegar aquele tablet?
0.2|Como está aproveitando seu tour autoguiado pelo meu paraíso suburbano?
0.3|Bom, bom, eu esperava que fosse você. Estava lá fora pela sua conta? Ouvi sua voz... Você não estava falando sozinho, né?
0.4|Tudo certo?
1|Nem chegou à porta e já é um herói! Tocadores de porta nesta cidade não são nada como os de casa. Só aparecem sem serem convidados. De qualquer forma, me siga.
2|Aww, abençoe seu coração! Não deixe os nervos te dominarem. De qualquer forma, venha comigo até a cozinha.
3|Tenho que ficar de olho no forno. Esse não é o prato mais tradicional... sabe. Me faz um favor, pode pegar meu tablet lá na sala? Acho que fiz tudo que a receita pede... mas ainda assim não parece certo. Quero conferir de novo.
3.1|* Gritando de outro cômodo * Tenho que ficar de olho no forno. Esse não é o prato mais tradicional... sabe. Me faz um favor, pode pegar meu tablet lá na sala? Acho que fiz tudo que a receita pede... mas ainda assim não parece certo. Quero conferir de novo.
4|Nossa, você está me fazendo corar.
5|Faça o que tiver que fazer. Só não vá mexer no andar de cima. Não quero te encontrar no fundo das minhas delícias.
5.1|* Gritando de outro cômodo * Faça o que tiver que fazer. Só não vá mexer no andar de cima. Não quero te encontrar no fundo das minhas delícias.
6|Bem, isso foi estranhamente específico. Os únicos fantasmas que tenho são fantasmas do passado simplório. Se ouviu algo da... variedade amorosa, só posso supor que Patrick achou o caminho de volta até aqui. Você lembra do Patrick da festa, né? Ele se apaixonou um pouco por mim porque prometi guardar o celular dele com segurança.
7|Meu cavaleiro de armadura brilhante! Eu teria andado alguns passos, mas essa comida... Tenho medo que, se tirar os olhos, ela crie pernas e saia do forno! Só brincando... mas mantenha distância.
8|Assim como o Dr. Mobus nos ensinou! Você realmente devia aproveitar a aula dele. Isso me faz pensar que vai gostar do que preparei para esta noite. E quem sabe? Talvez eu veja seu animal espiritual hoje. Mas não ainda. Vamos pra cozinha.
9|Pois é, meu pai disse quando me mudei pra cidade grande: “Brittney, você tem que agarrar a vida pelas bolas”. Então toda vez que o Pat chega muito perto, eu agarro as bolas dele e dou uma pancada com o jornal no nariz dele. Sempre o faz correr. É fácil lidar com ele — a menos que esteja com uma garrafa na mão, aí complica.
10|Gosto de pensar que sou do tipo que “vai com o fluxo”. Nunca deveria ter ajudado ele com o celular naquela vez. Mas já que você está aqui, quer tentar lidar com ele? Eu agradeceria muito.
11|Enquanto você estiver de boa com alguém brincando lá fora enquanto aproveitamos nossa noite, acho que tudo certo...
12|Um homem disposto a sujar as mãos me deixa impressionada. Aqui está uma chave que te dá acesso. Duvido que o Pat tenha a ousadia de entrar, mas nunca posso ter certeza. Se puder se livrar dele, te agradeço.
13|Calma aí, tigre. Não faz sentido ficarmos “sauced” antes de encher o estômago. Isso seria tão útil quanto tetas em um touro, se quer saber. Além disso, não lembro onde coloquei a chave daquela coisa.
14|Tenta fazer um tio se sentir confortável depois que ele bebeu um pouco.
15|Já deixou escapar da boca uma daquelas coisas que achou que ia arrasar, mas caiu de cara? Pois é, isso acabou de acontecer contigo.
16|Heh, sim, o Dr. Mobus está me dando a chance de ganhar um crédito extra. A aula dele não é exatamente minha praia, então toda ajuda é bem-vinda. Só preciso cozinhar uma receita do blog vegano esquisito dele e mandar uma foto. O problema é que não sou vegana nem boa cozinheira, então... vai ser interessante!
17|Eu sei, mas foi bem melhor que a proposta original do documento, que envolvia mandar algumas fotos minhas pra ele. Não entendi direito o que ele queria, mas sou tímida demais pra mandar fotos minhas pra alguém. Não sou tão boba quanto a Madison, sabe.
18|Falando em suor, acho que preciso me refrescar. Essa coisa toda de cozinhar está me fazendo suar como uma prostituta na igreja. Deus do céu, me escuta falando desse jeito. Desculpa, estou exausta, só isso.
19|Sim, com certeza. É simples: cuide do fogão e garanta que a casa não pegue fogo. Consegue dar conta?
20|Você vai arrasar, superestrela. E olha, aqui está uma chave que te dá acesso à casa. Vá lá fora, sente perto da fogueira se quiser. Quando o forno desligar, verifique primeiro e me avise se está tudo certo.
20.1|Você vai arrasar, superestrela. E olha, se tiver tempo, tente localizar nosso pequeno convidado indesejado. Vai entender o que quero dizer com "pequeno" quando encontrar. Além disso, quando ouvir o forno desligar, verifique primeiro e depois me diga se está tudo certo. Beleza, volto já!
