[General]
Name|Patrick

[Dialogues]
0|
0.1|Nossa, merda. Não precisa se preocupar, Sr. Brah. Estou aqui a negócios muito oficiais. Estou representando a guarda do bairro, e a Brittney aqui, ela tem muitas violações. Muitas... violações... como aquela bunda dela, né? Droga, eu estava indo muito bem.
0.2|Bem-vindo de volta ao meu escritório, mano. Sente-se. Já tirou as fotos?
0.3|Nossa, merda. Não precisa se preocupar, Sr. Brah. Estou aqui a negócios muito oficiais. Estou representando a guarda do bairro, e a Brittney aqui, ela tem muitas violações. Muitas... violações... como aquela bunda dela, né? Droga, eu estava indo muito bem.
0.4|Nossa, merda. Não precisa se preocupar, Sr. Brah. Estou aqui a negócios muito oficiais. Estou representando a guarda do bairro, e a Brittney aqui, ela tem muitas violações. Muitas... violações... como aquela bunda dela, né? Droga, eu estava indo muito bem.
0.5|Não tente nada comigo, mano, eu sou tipo um ninja com meu pau, entendeu? Eu amo a Brittney e vou mostrar meu pau ninja quando eu estiver pronto... porque isso é amor.
1|Ei, mano, nem todos nós temos a sorte de jantar e beber vinho com a garota mais gostosa da cidade. Alguns de nós temos que criar a nossa própria diversão. Além disso, estou aqui no site oficial da empresa, então esta sessão é dedutível do imposto de renda.
2|Talvez eu não tenha te contado na festa, mas eu sou importante. Você está falando com o fundador original do Neighborhoodwatch.com. Eu sei que você já ouviu falar da gente, mano, dá uma olhada se não conhece. Somos gigantes!
3|Cara, esse é o problema. Os bons samaritanos do mundo encontraram meu site, tiveram a ideia errada e começaram a usar o Neighborhoodwatch.com para campanhas de doação de sangue, vadiagem e toda essa merda de kumbaya. O que antes era o site de voyeurismo número um da internet agora está cheio de um código moral. É por isso que estou aqui, Muhammad Brah-li.
4|Ei, eu ouço muito isso. Minha mãe disse isso ontem. Que tal fazer um pacto com o diabo?
5|Nossa, mano, parece uma reunião dos AA aí. Mesmo assim, a Brittney é rica.' Vou te dizer uma coisa: você me ajuda e eu te ajudo a resolver os dois problemas.
6|Sério, cara? Vai deixar a oportunidade escapar assim? Que seja, mano, eu posso restaurar meu lugar à sua antiga glória sozinho. Tô fora, paz, cara.
7|Não somos voyeurs, somos voyeurs, mano. Uma bunda francesa luxuosa não pode ser uma pervertida. Pergunte àquela vagabunda de desenho animado que estava batendo em todas aquelas gatas.
8|A Brittney é a cara. Ela é nota 10 com um par de 34, e o mundo precisa saber. Se eu conseguir postar fotos dela e daqueles peitos na página principal do NW, meu site voltará à sua antiga glória. E é aí que você entra, mano.
9|Você tem toda razão. Se você disser sim — o que, vamos lá, você vai dizer sim — eu te dou meu telefone, e você pode se tornar meu celular. Tipo o Sam-Fucking-Fister. Algumas fotos, e eu te devo um dinheirinho. O que você quiser, eu te ajudo a conseguir. Então, o que você diz, mano?
10|Mano, o que eu posso te oferecer? A única coisa que faz o mundo girar. Frio. Duro. Dinheiro. 5 mil no seu bolso, se você me der essas fotos. E, como cereja do bolo, posso te ajudar se tiver problemas na sua missão hoje à noite. Já estive neste quintal tantas vezes que conheço esta casa melhor que a Brittney. Então, o que você me diz?
11|AHHH, CLARO QUE SIM. Tudo bem, Steve Brahbs, vai ser fácil. Aqui está meu celular, câmera pronta para usar. Assim que começar a ficar oleoso mais tarde, tire algumas fotos e envie-as diretamente do celular para o NW. Conto com você, mano, vamos nessa.
12|Peça e você receberá, meu amigo.
13|Ha! Consigo sentir o que ela está chamando lá das profundezas, aqui embaixo. A solução é simples: sabotar essa merda. Despejar alguma coisa naquele forno e estragar tudo. Tem que ter alguma coisa lá dentro que possa trazer essa coisa de volta para onde veio. Talvez dar uma olhada na garagem.
14|Ahh, sim. Poderia ser eu. Entrei escondido em casa enquanto a Brit estava na aula e encontrei a chave. Naturalmente, destranquei o porquinho e, bem, corta para... Acordei naquele quintal ali, sem calças. Não vi a chave desde então. Desculpa, mano, preciso estar por aqui em algum lugar.
15|Bebida? Não foi isso que eu pedi, mano, preciso de fotos dos peitos.
16|Bom, você não está errado. As pessoas me dizem que sou um bêbado terrível, mas só dizem isso dos MELHORES bêbados. Tenta me dizer que quando me viu naquela festa, eu não estava no meu melhor, mano. As pessoas têm inveja de como eu sou incrível quando estou bêbado, e tudo mais. Tá bom, mano, obrigado pela bebida.
