[General]
Name|Amala

[Dialogues]
0|E aí?
0.1|Oi.
0.2|E aí?
0.3|E aí, você!
0.4|E aí, e aí?
0.5|Ah, você de novo... ugh.
0.6|Você de novo?
1|Ah, e aí... Eu deveria dizer... ou talvez, hum... ou talvez eu devesse dizer, hum... boa noite!
2|É, eu... eu sei. Esta é a casa da Madison, a organizadora de festas extraordinária.
3|Amala. Meu-meu nome é Amala. Aluguei a casa ao lado. Eu queria experimentar a vida doméstica por um tempo... sabe, eu tento ser uma boa vizinha. Sem outras intenções... nenhuma!
4|Não, nah nah nah, eu não, hum... esse não é meu estilo. Eu... eu não invado festas, eu-eu sou convidada. É... assim que eu faço.
5|De qualquer forma, hum... outra coisa que você deve saber é que se vir meu salto preso na cerca, é só porque eu estava tentando dar um presente para a Madison... um salto de sapato, e se ela gostar... eu dou outro.
6|É, eu mando muitos presentes para a Madison. Sabe, eu tento ser uma boa vizinha. Mandei um buquê de flores, um pouco daquele perfume de banheiro para quando está muito fedorento... Ah! E uma stripper. Sabe, coisas de vizinha!
7|Então eu estava pensando... por que a Madison não me convida para a festa dela? Parece estranho, né? Talvez um pouco errado, né? Né? ...NÉ?!
8|Você parece um cara legal, no entanto. Talvez você possa me ajudar a descobrir o porquê? Tipo... me diga o motivo. Você pode me dar um 411 e perguntar à Madison o que diabos está acontecendo, tipo se escondendo? Se infiltrando e coisas assim. Como naquele filme de espionagem.
8.1|Talvez você possa me ajudar a descobrir o porquê? Tipo... me diga o motivo. Você pode me dar um 411 e perguntar para a Madison o que diabos está acontecendo, tipo, ficar quieta? Se infiltrando e tudo mais. Como naquele filme de espionagem.
9|Confie em mim, vai valer a pena. Não estou aqui só para fazer novos amigos, eu tenho um plano. Sou como o Indiana Jones procurando um tesouro escondido. E se você me ajudar com isso, eu deixo você ser meu Short Round. Vai lá, me dá uma mão.
10|Você é demais, cara! É! Agora eu posso parar de chutar essa cerca, já que tenho alguém aqui dentro agora. Mas só para você saber, e para que conste, essa cerca ia cair a qualquer momento.
10.1|Você é demais, cara! É! Agora eu posso parar de chutar essa cerca, já que tenho alguém aqui dentro agora. Mas só para você saber, e para que conste, essa cerca ia cair a qualquer momento.
11|Então você pode ir se foder! Tá, talvez eu consiga chamar aquele loiro babaca para me ajudar. Ele parece que faria qualquer coisa por cinco pratas.
12|Bem, o que a Madison disse? Por que a vizinha atenciosa dela, a Amala, não foi convidada?
13|Aposto que foi um erro. Ela provavelmente enviou o convite para uma daquelas contas de fãs que não dizem que são eu, mas, ao mesmo tempo, NÃO dizem que não são eu. Eu entendo. Essas coisas acontecem o tempo todo.
14|Hum... é... eu sou... bem conhecida na... cena profissional de cosplay de Nicholas Cage. E... no ramo de pastoreio de gatos? Hum... você sabe... eu gosto de pastorear... gatos. E... hum, de fazer o triângulo.
15|Eu? Espera, o quê? Ele disse "vizinha intrometida" ou "vizinha barulhenta"? Não sei por que perguntei. Essas... essas duas são respostas terríveis! Madison, sua vadiazinha... Não, Amala, se segura. O destino me espera lá do outro lado daquela cerca maldita, e eu não vou deixar que me neguem!
16|Sem querer parecer desesperado... mas, por favor, encontre um jeito de me fazer entrar na festa sem que isso envolva derrubar essa cerca e ser acusado de invasão de propriedade.
17|Você parece uma pessoa criativa, dá para perceber pela sua... hum... cara. Tem mais de uma maneira de enganar um gato! Hum, quer dizer... fingir que eu não disse nada.
18|Tá brincando? Olha a minha roupa. Não quero mostrar minha xoxota pra todo mundo enquanto pulo essa cerca.
19|Droga, você me descobriu, né? Eu estava tentando me manter discreto, mas acho que o segredo já foi revelado. Eeeeeeeeeeeee, haha!
20|Mas falando sério, me deixa voltar para o saco por enquanto. Não quero usar minha fama. Essa missão é maior do que isso.
21|Por enquanto, sou apenas a Amala, a vizinha gostosa que já recebeu mais reclamações por perturbação da paz do que pelo menos três bairros juntos. Quer dizer, eu tento não me destacar.
22|Como está indo o convite para a sua amiga Amala? Estou prestes a começar a chutar essa cerca de novo...
22.1|Certamente não vai demorar muito para ser convidada, né? Eu fiz um lugar para fazer xixi aqui atrás e já usei várias vezes.
22.2|Então eu mais a festa é igual a... é mesmo?
