[General]
Name|Amy

[Dialogues]
0|Oi, denovo.
0.1|Oi, oi. Sou a Amy.
0.2|O fogo é tão lindo!
0.3|Oi, bonitão. Que coincidência te encontrar aqui...
1|Muito maduro, garoto...
2|Meu Deus. Preciso de um choque de realidade. Isso aconteceu mesmo? Que nojento. Argh.
3|Bem, obrigada. O prazer é todo meu!
4|Acho que perdi a vontade de viver...
5|Desculpa, garoto. Não para mim.
5.1|Desculpa, gata, eu não curto muito essas coisas. Da última vez, misturei isso com meus remédios para TDAH, uhuu. Aquela sensação estranha de ter que ligar para os seus pais para te tirarem da cadeia por uma acusação de atentado ao pudor...
6|Meu Deus, eu adoro eles! Vi eles em um show semana passada, e eles estavam ainda melhores do que quando os vi na semana anterior! Você é fã?
7|Isso é "Thirty Seconds to Mars", idiota. Brendon Urie é o vocalista do Panic! Odeio quando caras dizem coisas só para te irritar. Acho que essa sala de bate-papo acabou.
7.1|Hum, isso é "Thirty Seconds to Mars", idiota. Qual é a sua intenção, garota? Você está mentindo para causar uma boa impressão? Nossa, como eu odeio isso. Seja você mesma se quiser ser sua amiga.
8|Bem, cada um com o seu gosto, certo? Contanto que você não os odeie, ainda podemos ser amigos.
9|Desculpa, garoto. Não estou interessado...
9.1|Ei, garoto, escuta. Seja lá o que for, não estou interessado, ok? Acho que já tivemos interação suficiente por uma noite.
10|Você não ouviu? O irmãozinho dela foi preso por metanfetamina! Saiu no noticiário e tudo mais. O coitado do Derek teve que tirá-lo da cadeia e consertar a situação. Ele praticamente criou aquele garoto. O Derek está falido. Ele não presta.
11|Ei, garoto, acho que você devia se deitar um pouco...
11.1|Ei, garota! Acho que você devia se deitar um pouco. Você não parece muito bem.
12|Ei, ei, ei. Desculpe, pessoal. Eu não queria interromper nada. Vou indo agora...
13|Que porra é essa, cara? Você está fazendo isso aqui?
14|Ah. Acho que eu estava nas nuvens. Bem, sou novo na cidade e estou tentando entrar para uma irmandade. Me colocaram em uma caça ao tesouro como iniciação. Termina amanhã, e ainda tenho muita coisa para fazer. Estou pensando em sair da festa para tentar terminá-la. Muitas das coisas da lista são... bem... constrangedoras, e eu não conheço muito bem as pessoas aqui.
14.1|Ah, nada demais, só estou imaginando todas as maneiras que eu posso fazer o Frank te bater... na verdade... aaaaa ... Se isso for muito constrangedor para você, é só me dizer e eu vou entender. Acho que eu morreria se tivesse que fazer isso sozinho.
14.2|Ah, não muito. Só estou imaginando como seria incrível se eu estivesse em outro lugar e não estivesse falando com você agora. E VOCÊ?
15|Nossa. Certo. Então vou ficar aqui para ver o que a gente consegue. Obrigada!
16|Vamos ver... a primeira coisa que eu não tenho é... meu Deus, um cartão de crédito vencido, e não pode ser meu. Entende por que eu não posso pedir para essas pessoas que eu mal conhecia? E as coisas só pioram!
17|Nossa, foi tão legal da Madison te deixar ficar com o cartão de crédito antigo dela! Estou tão feliz que as pessoas que conheci hoje sejam tão legais!
18|Certo... a próxima coisa que eu preciso é... meu Deus, preciso de uma camisinha de um estranho. Se isso for muito constrangedor para você, é só me dizer e eu vou entender. Acho que eu morreria se tivesse que fazer isso sozinha.
19 | Nossa! Obrigada! Nem quero saber como você conseguiu isso!
20 | Hmm... vamos ver. Ah, aqui está uma que eu ainda não tenho. Preciso convencer meu melhor amigo a tirar a camisa e me dar. Esse aí seria o Derek, logo ele. Ele é muito tímido. Duvido que você consiga convencê-lo a fazer isso...
20.1 | Hmm... vamos ver. Ah, aqui está uma que eu ainda não tenho. Preciso convencer meu melhor amigo a tirar a camisa e me dar. Esse aí seria o Derek, logo ele. Droga, ele nem tem mais a camisa. Espero que você ainda consiga pegá-lo...
21|Que bom plano! Talvez você consiga! Claro que assino!
22|Meu Deus, não acredito que você fez isso! Que engraçado! Não vou mentir, está ficando meio engraçado.
23|Deixa eu ver... meu Deus, bem. Essa não vai ser tão fácil. Preciso de calcinhas de mulher. Elas não podem ser minhas, e você tem que tirá-las de alguém. Boa sorte com essa...
24|Meu Deus, não acredito que você realmente fez isso. Isso me deixa louco. Quem te deu a calcinha dela? Quer saber, esquece, eu não quero saber. Estou arrasando nessa caça ao tesouro, e é só isso que importa. Preciso ficar de olho no prêmio!
25|Desculpe, mas a história só vai até aqui para scrims. Mais novidades em breve!
