[General]
Name|Arin

[Dialogues]
0|E aí, não-Chet.
0.1|E aí, como vai, amigão? O que posso fazer por você? Hee, hee hee...
0.2|Que noite louca e selvagem.
0.3|E aí, uhhh-huh, que casaco bonito!
1|Aquela queda foi de uns 6 metros, CHET! Agora eu tô com os JOELHOS DOENTES, CHET!
2|Caramba! Temos certeza? Talvez o BJ Scooters seja tipo um gastropub descolado e moderno com... tipo, tema de festa em casa. Tipo o jogo "Festa em casa". Malditos joelhos, não consigo nem pensar direito!
3|Você, não-Chet, me dá o seu celular! Já estamos muito atrasados para o Game Grumps Live, e por mais fofos que sejam, vão ser comidos se tiverem que esperar muito mais.
4|Bem, que tal você levantar dessa festa e nos levar para o Game Grumps Live, ok? Por favor, você pode fazer isso por nós?
5|Jesus Cristo, Dan. Não... Chet, você pode me passar o telefone para a gente sair daqui, por favor?
6|BWWWWWWWOOOOOOOOOOOOOOOOOOOOOOOAAAAAAAOOOOOOOOOOOOOOOOOOOOOOOOOOAAAAAAAAOOOOOOOOOOOOOOO ...
6.1|BWOOOOOAAAAAOOOO-ME AJUDE-BWOWOOOOOOAAAAOOO-POR FAVOR-BWWWOWOOWWWW-ESTOU PRESO-BAOWWWWRR ...
7|D-Não a deixe...
8|Dan, me escute. Embora eu tenha mijado um pouco, você não pode deixá-la atravessar para este mundo. Ela é má, Dan!
9|Isso não é uma dama! Ela é uma súcubo, Dan. E ela me mostrou visões que me envolviam fazendo xixi. OHHH NÃO! É REAL!
10|He-he-Ei, cara! Cara. O que está acontecendo? Uh-uh, cara. Eu só estou aqui relaxando. Só me refrescando. Só curtindo. Relaxando. Relaxado.
11|MMM. Vou provar suas entranhas. Eu gosto do seu gosto!
12|Dan, lembre-se do plano!
13|As chaves do seu carro.
14|Carros com caras dirigindo por aí com música inapropriada tocando... SIM. Sempre me deixando desconfortável...
15|Vai embora, você está estragando a ilusão.
16|Porque eu odeio isso aqui! Todo mundo é bêbado, sensível e SENTINDO, e eu só quero ir pro Game Grumps Live e FICAR QUENTE. Então, sai daqui, e MUITO QUENTE, e me ajude a encontrar alguém que esteja sóbrio e NÃO QUENTE e competente o suficiente para dirigir, e NÃO QUENTE.
17|Bem, você me aponta a direção certa e partimos como uma matilha de gnus GAAHHD DROGA. Aqui tem um terreno enorme, por onde começamos?
18|Eu estou ali, não-Chet. Daniel, vem comigo!
18.1|Bem, aqui vai uma curiosidade, não-Chet. Eu não dou a mínima para você. Dan, vamos ficar bravos. Vamos revistar algumas casas e tal.
19|Ooohh droga, você tem que mostrar pro Dan! Enquanto ele estava com as garotas, ele estava estudando a espada!
20|POR FAVOR, guarde isso! Sou alérgico a flores. E a árvores. E a frutos do mar. E à caspa de certos gatos domésticos. E a levar os dedos ao nariz.
21|Uma chave! Meu Deus, é uma chave! Isso dá partida em um veículo? Leve-nos até este veículo, No-Chet!
22|Porra! Então enfie no seu olho mágico.
23|No-Chet, qual é! Você sabe que estou tentando ver minha silhueta.
24|Hehehe. Dê isso ao Dan, ele vai adorar essa merda.
25|Mhmhmhm, acho que acabamos de descobrir o que nos torna zognoides, querido Dan.
26|Não, eu não estou a fim disso. Eu não entendo e, portanto, posso FODER!
27|Desculpe, meu inventário já está bem cheio. Merda, eu tenho um inventário onde meu pau deveria estar! Dan, olha nas suas calças, o que você vê?
28|Hmmmm, o que temos aqui?
29|Não é um Dan esperto, esperto! Estes são dos nossos balões de ar quente; são os mais novos produtos relacionados à Starbomb produzidos pela Starbomb! Estes, meu querido Daniel, são as Mini Bombas de Banho Starbomb™ oficiais.
30|Eu também, Dan. Só precisamos colocar essas mini bombas de banho na banheira de hidromassagem e deixar a água ficar borbulhante e sofisticada. Com certeza os exploradores aéreos que estão nos procurando agora verão as cores incríveis da Starbomb e virão nos salvar! Tudo por causa das Mini Bombas de Banho Starbomb™ oficiais!
31|Eu estava no meu carro, Dan: Rosquinhas, Wiimotes e drones com capacidade de busca e resgate. Estamos seguros, meu amigo. Vamos, vamos molhar essas Mini Bombas de Banho Starbomb™ e nos abraçar para que as correias dos socorristas possam nos puxar para um lugar seguro ao mesmo tempo.
32|Vamos lá! Jogue uma nessa vadia grande! Desculpe, eu quis dizer a banheira de hidromassagem. Não sei por que eu disse "vadia grande".
33|Bem, não posso dizer que não estou totalmente decepcionada com a falta de diversão na hora do banho agora.
