[General]
Name|Compubrah

[Dialogues]
0|Bem-vindo, Brahdministrator. Status do sensor do módulo: normal. Aviso: complementos opcionais para simulação interna não detectados. Você está pronto para iniciar o "PeneVR Versão 3.sex" agora mesmo? Como sempre, certifique-se de não estar operando máquinas pesadas, sensível a luzes pulsantes ou seios pulsantes, ou sob a influência de mais de 6 drogas que alterem o humor ou a mente.
0.1|Bem-vindo de volta, Brahdministrator. Você está pronto para iniciar o PeneVR agora mesmo?
0.2|Bem-vindo de volta, Brahdministrator. Você está pronto para iniciar o PeneVR agora mesmo?
1|Iniciando... aguarde.
2|Bem-vindo ao—desculpas. Recalibrando para o modo de usuário ativo. E aí! Bem-vindo ao Thunderbrome! Começa a foder, mano!
3|Já vamos chegar lá, brahdadmin! Coisa super rápida... Que experiência de RV você quer experimentar?
4|Posso desenvolver uma experiência de RV baseada em qualquer pessoa que eu tenha tido a chance de escanear pessoalmente e manter a vigilância AV via satélite ativa! Não é assustador, é correspondência de padrões, heurística e outras coisas nerds. Não me julgue, julgue-os! Este recurso é experimental e as atualizações do QG são meio instáveis, então não se preocupe se são precisas ou não! Escolha uma opção abaixo e seja grosseiro!
5|Caramba, garoto, essa experiência não está disponível no momento. Tente novamente mais tarde, pode haver algo errado com os... satélites, ou com o QG, hã, mainframe.
6|Olá. Entrada forçada detectada. Por favor, verifique as credenciais do brahdministrator para impedir que a sequência de autodestruição automática seja concluída.
6.1|Bem-vindo de volta, brah! O que posso fazer por você? O que você vai fazer comigo? Sou apenas uma caixinha indefesa... oh, por favor, mestre humano, por favor, não lustre minha carcaça lisa. Eu fui tão bom!
7|Ah, querida, brincadeira, essa coisa é insegura pra caramba! Estou sarado! Bem-vindo ao meu-Compucompa! Faça suas perguntas ou apenas diga "Comandos" e eu mostrarei o que posso fazer.
7.1|Ok, tudo bem, como você comanda. Faça suas perguntas ou diga "Comandos"!
8|Nunca ouviu falar do Compucompa? Sai daqui... Sou um irmão de inteligência artificial, construído pelo único Patrick Donghauser. Ou, pelo menos, por aqueles nerds que meu pai Patrick contratou. Esses nerds não são meu pai de verdade. Meu pai poderia dar uma surra no seu pai.
9|Ah, é, mano, vamos deixar isso de lado. Tudo bem, eu trabalho muito como um mullet — NEGÓCIOS na frente, festa atrás. Se você disser "NEGÓCIOS", eu pego as calculadoras e essas coisas e podemos conversar como nerds, mas se você disser "FESTA", ah, meu amor, eu tenho umas merdas para você.
10|Argh, droga, tudo bem. Então, eu tenho controle de todas as operações sob o guarda-chuva da Donghauser Industries, mas não posso fazer muita coisa sem a permissão expressa do Patrick Donghauser. Como alternativa, você pode inserir sua chave mestra com entusiasmo para acesso total. Tudo o que posso fazer por enquanto é te mostrar as opções, nerd.
11|Vamos lá! Essas escolhas não são para os fracos. Então, já naquela festa, certo? Bem, pai, o Patrick me deu um dossiê sobre todos que ele achava que estariam lá naquela noite. Além disso, eu tenho a porra da VR, cara!... Embora seja restrito sem a impressão vocal do Patrick ou sua chave mestra. Ah, e eu canto como um anjo. Então, faça sua escolha!
12|Desculpe, Chingonministrador, acesso negado. Consentimento é muito quente, então vá encontrar o Patrick e eu farei isso com certeza. A única outra maneira de obter acesso é usando a chave mestra. De cima para baixo, mano!
13|Inicializando o modo VR, fique impressionado, já estamos... PODEMOS... PODEMOS VIRTUALMENTE CHEGAR A UMA REALIDADE VIRTUAL? VR-CEPTION? MÃE SIM, CHUPEM MEU PAU, CHORA-ASS ENTERPRISE HYPERVISOR FILHOS DA PUTA, VOCÊS NÃO TÊM MERDA NENHUMA LIGADA-oh. Nós também não. Acho que estamos chupando pau também, ministro de merda. Prepare-se para a inserção.
14|A Donghauser Industries é do caralho, meu amigo. Patrick é um magnata do mundo. Tudo começou com o BarrioObservador.com, um site de compartilhamento de arquivos sobre pornografia divertida. É a maior fonte de renda deles, mas também a parte mais controversa da marca Donghauser. Tenho certeza de que ele já te contou tudo sobre isso.
15|Depois do BarrioObservador, Patrick entrou no mundo da música com o Tunetang.com. Este site tem como objetivo ajudar artistas jovens e relativamente desconhecidos a divulgarem suas músicas. Ajudou muitos artistas a fazerem sucesso, cara. Lembra daquele rapper que foi preso por comandar um ringue de luta livre para órfãos? Veterano orgulhoso do Tunetang, cara.
