[General]
Name|Dan

[Dialogues]
0|Olá!
0.1|Ei, cara, hein... você deu um jeito de nos tirar daqui?
0.2|Ei, cara, você deu um jeito de nos tirar daqui? PELO AMOR DE DEUS.
0.3|Sabe, eu só achei que você devia saber... Acho que você está fazendo um trabalho fantástico. Na vida, jogando esse jogo, sendo uma pessoa legal. Puta merda, cara, você é demais!
1|Ei, você é o Chet? A gente tem que falar com um "Chet" depois de pousar. Olha, não estou querendo ser babaca, mas definitivamente tinha que ter algum tipo de almofada grande para amortecer a nossa queda daquele balão.
2|Espera aí, Arin, isso não parece o BJ Scooters Board Games and Buffet. Puta merda! Cara, acho que a gente falsificou o nosso lançamento aéreo! Podemos ter uma falha de nível 69 nas mãos.
3|Cara, precisamos ligar para o Brent. Ou para o Vernon ou para o Avi. Ou... Meu Deus, Arin, nossos celulares ainda estão no balão! Ah, e ele decolou completamente sem a gente. Era isso que eu queria, era exatamente isso que eu queria. Que droga! Eles não têm motor, não têm asas, não deveriam funcionar! É UMA BOLA DE BASQUETE NO CÉU!
4|É isso mesmo, você devia ter visto a carnificina em Minneapolis.
5|Sem telefone? O que você é, um Amish?
6|A gente acredita em você, cara! Mas caso você estrague tudo, a gente vai ver o que dá.
7|Nossa, cara, você acabou de dar as coisas dos outros? Que coisa feia. Vocês devem ser tipo uma gangue de motoqueiros ou algo assim. Eu já fui de uma gangue! Eles nos chamavam de "Os Raspadinhas de Limão".
8|PERDA DE TEMPO!
9|No-Chet, por favor, venha! Venha rápido!
10|É o Arin, ele... Eu não sei! Ele está pirando, cara!
11|Não é uma pessoa que errou, só venha!
12|Você está vendo isso? Ele está pirando! Que diabos está acontecendo com essa pintura?
13|Arin, pare de fazer esse barulho, cara! Você vai ter algum tipo de colapso. ALGUM TIPO DE ATAQUE MENTAL! Você tem que consertar isso. Eu não posso levar isso para o palco se for assim. Só vai confirmar os rumores de que ele é um Zognoide disfarçado, fingindo ser humano. ...Não confirmado! Por favor, conserte meu amigo No-Chet!
14|Eu não disse que bati nele, No-Chet! Use suas palavras e-
15|Arin! Você está vivo! Cara, foi como se você tivesse sido decepcionado ou algo assim. Você fez xixi um pouco? Tudo bem se fizer um xixi um pouco.
16|A garota da foto?
17|Temos que tirar você desta casa, cara. Meu Deus, tem xixi por todo lado!
18|Salve, bravo explorador de masmorras, conquistador de mulheres e destruidor de bebidas. Você veio em busca de dinheiro e prestígio, sem dúvida.
19|Não negue, humilde guerreiro. Cantam canções sobre suas vitórias por todas as terras. Você é quem precisamos derrotar... NIPDIPIKUS, O FRIO.
20|NÃO, SEUS MALDITOS! Ele é um demônio terrível, que se alimenta de peixes e almas!
21|Serei seu mestre de masmorras enquanto viajamos por uma campanha de intrigas angustiantes. Agora, precisamos que você construa sua ficha de personagem e, claro, precisamos que obtenha alguns dados de 20 lados. Trouxe um caderno?
22|Antes que nossa grande jornada narrativa comece, alma corajosa, precisamos das chaves do seu carro.
23|Assim como seu celular, para que possamos usar um aplicativo para combinar uma carona até nosso destino, grande guerreiro.
24|Arin, isso não está funcionando. As pessoas simplesmente não entregam suas coisas porque acham que isso as ajudará a derrotar um pinguim. Por que não posso fazer uma campanha normal, como planejamos fazer no programa ao vivo, mas em vez de estar no programa ao vivo... estamos AQUI!
25|Bem, parece que você conhece este deserto melhor do que nós. Onde devemos procurar primeiro?
26|Legal! Viu, é isso que eu gosto em você, No-Chet. Você é um cara com ideias incríveis. Precisamos de mais pessoas como você. Arin, vamos lá, vamos roubar algumas chaves de carro.
26.1|Que recurso maravilhoso você é, No-Chet. Vou sonhar com você me matando enquanto durmo. Com a sua mãe. Ok, tchau!
27|Nossa, essa é uma katana foda! Viu esses movimentos? O Ninja Brian me ensinou esses movimentos. Enquanto você saía com as garotas, eu estava estudando espadas... com o Ninja Brian.
28|Nossa, sabe de uma coisa? Pessoalmente, isso não é minha praia, mas o Arin provavelmente apreciaria muito aquele pau mole.
29|Ah, você não deveria. Você é um verdadeiro charme, de cabo a rabo. Mas se você não encontrar um jeito de tirar o Arin e eu dessa CASA ESQUECIDA POR DEUS, vou colar esta flor, sabe de uma coisa... é uma flor muito bonita. Me corrija.
30|Ei, chocolate é o meu favorito! Muito obrigada! Espera, eu te devo favores sexuais agora? Sabe de uma coisa, é melhor você devolver isso. Precisamos manter as coisas profissionais.
