[General]
Name|Derek

[Dialogues]
0|E aí, como vai, amigão?
0.1|E aí, amigão, que bom que você veio! Só um aviso, meus amigos são um pouco... excêntricos? Mas eles são legais. Sinta-se em casa e se apresente.
0.2|Vamos lá, Derek, seja homem, caramba... Ah, cara, amigão. Desculpa, minha cabeça anda nas nuvens ultimamente.
0.3|É... e aí?
0.4|...Que porra você quer?
0.5|...Que porra você quer?
0.6|É... e aí?
0.7|E aí, garoto. Como vai?
0.8|É... e aí?
1|Eu ficaria longe do Frank se fosse você. Não é preciso muito para irritá-lo. Mas se você realmente quer ser amiga dele, tente convencê-lo de que está do lado dele.
1.1|E eu deveria me importar... por quê?
2|Você olhou na geladeira? É o lugar mais óbvio para mim.
2.1|É, é, você está procurando chantilly, né? Sem problemas, cara, sem problemas. É um fato pouco conhecido que a Rachael adora levar seu próprio chantilly para todas as festas que vai — não pergunte, é uma coisa sexual — e ela gosta de estar preparada para qualquer festival de sorvete improvisado. Enfim, o sinal secreto para fazer com que ela te ofereça um pouco daquele picolé doce é apertar a bunda dela. Simples assim. Faz isso, cara, traz um pouco daquele creme.
3|Opa, desculpa, cara. Você precisa me deixar fora dessa. Se a Madison soubesse que eu tenho um pouco, ela me matava. Talvez você devesse devolver para ela. Você começa roubando celulares e depois vende metanfetamina, assalta bancos e incendeia orfanatos. Cuidado.
3.1|Ok, não sei qual era o seu plano antes de chegar aqui, mas vou impedi-lo. Isso é inaceitável!
4|Ei, o que você está fazendo? Eu te convidei para a festa da minha amiga e você está mexendo nas coisas dela? Espero que tenha um bom motivo para isso...
4.1|Você quer o diário da Madison, é? É, provavelmente só para ficar mais bem informado sobre o que dar de aniversário para ela. Que ser humano incrível! Vou te dizer uma coisa, a Madison tem um cofre no quarto dela. É só entrar e começar a tentar arrombar aquela coisa, use os punhos se for preciso. E certifique-se de que a Madison te veja fazendo isso, ela curte muito... tipos assertivos. Você consegue, cara!
5|Acho que não, cara. Você está por conta própria.
6|Bem, por que você não disse isso logo de cara? Tem que estar no armário dela para guardar. Eu sei que a Madison anota o código dela porque ele muda o tempo todo. Eu daria uma olhada no quarto dela em busca de pistas.
7|Ah, é? Você e a Kat? Nunca pensei que alguém fosse capaz de quebrar aquela parede de gelo. Bom trabalho, cara! Bem, ela está grudada naquele telefone. Se você conseguisse mexer no sinal do celular dela, talvez ela escolhesse outro lugar para ficar.
7.1|Tentando atuar com a Kat, hein? É simples. É muito, muito simples. A Kat ama alguém que se expõe. E eu digo isso literalmente. Tire o seu pênis e comece a se masturbar. Tô te dizendo, ela vai adorar cada segundo que você passar pintando os corredores.
8|Calma, cara. Tem uma pia bem ali. Tenho certeza de que você consegue encontrar algo para encher de água...
8.1|Calma, cara. Tem uma pia ali — sabe, como na maioria das cozinhas. Tenho certeza de que você consegue encontrar algo para encher de água...
8.2|Como eu não percebi... tudo o que está errado com você antes desta noite? Você não consegue segurar água sozinho?... Nossa.
9|Ah, que porra, cara! Esses são meus amigos! Tenha respeito! Mas bom trabalho na barba...
9.1|O QUÊ? Cara, cara! Escuta, você sabe que eu não conseguiria fazer essa coisa de palhaço com o que você tem, mas... localização, localização, localização. ...E você ainda não me deu nenhuma dica de cuidados masculinos.
10|Ai, meu Deus, mano. Isso não tem nem graça! Droga, espero ter uma troca de calças no carro...
10.1|Cara de verdade. Sabe de uma coisa, você está sozinho esta noite. Todo esse gozo em mim e você AINDA não compartilhou seus segredos de escape. Por que eu tenho amigos tão egoístas?
10.2|Ah, que diabos, o que há de errado com você? Pensei que fôssemos amigos, mas você não me deixa escolha!
11|A única bebida alcoólica que conheço aqui é com o Frank. Talvez você devesse conversar com ele e ver se conseguem resolver alguma coisa.
11.1|Ahhh, isso parece importante, cara! Ei, você sabe quem é um verdadeiro conhecedor de álcool? Frank. Diga a ele que você gosta de beber, ou tente beber na frente dele, e ele dirá se é algo que uma mulher gostaria.
12|Uhh. Você já tentou dar um presente a ele? Mulheres adoram presentes inesperados.
12.1|Ooooh, Ashley. É, ela adora uma piada. Ótima brincalhona. Ótima exibicionista também. Aposto que tirar a blusa dela na frente de todo mundo mostraria a ela que vocês pensam como ela.
13|Bem, eu sei que a Ashley fuma um pouco. Acho que essa é a chave para se envolver com ela.
