[General]
Name|Doja Cat

[Dialogues]
0|E aí?
0.1|Nossa, sua aura está negativa. Bem, o que você quer?
0.2|Olá. O que você tem a dizer, jovem Padawan?
1|Pronto, é assim que se faz! Mantenha os olhos no alvo, ok?
2|Eu não preciso disso. Sério.
3|Chega disso. Eu vou te matar!
4|Meu Deus, seremos eu e o Dinolicious. É o meu momento. Isso está acontecendo mesmo. A colaboração do século... da década!
5|Cale a boca! Estou tão animada, vamos fazer isso direito. Eu tenho um plano... um grande plano de 4 partes. Vou chamá-lo de "Dançapalooza Dinolicious Louca da Doja".
6|Você vai ser quem vai completar este plano de 4 partes, e pode fazê-lo em qualquer ordem, mas precisa completar todas as partes antes que eu possa começar.
7|De qualquer forma, preciso de um palco. É a primeira parte do plano. Vou precisar de segurança, uma transmissão ao vivo e uma equipe de filmagem. Talvez eu devesse começar pelo palco, mas você parece ser o tipo de cara que diz "dane-se, não vou fazer o que você manda". Eu entendo, então deixo isso com você.
7.1|E aí?
8|Olha, eu não sou nenhuma prima donna, mas a Doja precisa de um palco. Quero pessoas dançando comigo no centro e o Dino na frente, como as superestrelas que somos!
9|Você deve ter me ouvido dizer ao Derek que o mundo inteiro verá nossa colaboração. Para isso, teremos que hackear aquele outdoor digital. Sabe, aquele que mostra aquele anúncio daquele energético que faz seu pau encolher. Eu sei que estou pedindo coisas do Mr. Robot, mas você precisa encontrar alguém com habilidade para isso.
10|Certo. Vamos falar dos fãs da Doja. Eles são barulhentos, tarados e completamente loucos. Assim que nossa apresentação for ao ar, eles vão tentar arrombar a porta da frente da Madison dançando, transando, brigando... ou as três coisas. Não me entenda mal, essas são minhas três atividades favoritas, mas essa colaboração com o Dinolicious tem que ser PERFEITA. Preciso que você encontre pessoas fortes para ficar na porta e bloqueá-la para que os fãs não estraguem nosso plano.
11|Preciso de um cinegrafista para registrar minha colaboração com o Dinolicious... e quero dizer um profissional! Alguém que dedicou a vida a filmar peitos e bundas. Como um diretor de filme pornográfico. Além disso, certifique-se de que essa pessoa não se importe em ir para a cadeia. Eu roubei essas coisas da turnê da Lizzo. É caro!
12|O que eu vou fazer? Meditar. Tenho uma rotina pré-show que envolve contemplação Jedi. Às vezes começo a flutuar e coisas assim... Ok, podem ser os cogumelos, mas é um PROCESSO. Ei, não pense que não notei seu esforço. Obrigado pela ajuda.
13|Ah, merda. Espera aí. Você conseguiu? Vou ser sincero. Eu não esperava por isso. Cara, ainda bem que conheci alguém como você. Você é tipo o MacGyver! Isso vai ser um terremoto que a escala Richter não consegue medir.
14|Você não estava prestando atenção, né? É um traço de personalidade muito legal de se ter.
15|Eu adoro essa energia positiva. Continue assim. Só faça o que eu mandei. Por favor.
16|Então, você quebrou minha concentração... à toa? Se importa de me deixar me preparar mentalmente?
17|Olha, eu não conheço essas pessoas, então você vai ficar de olho na Patty. Tem alguma coisa nele que não me cai bem. Sabe, me dá uma vibe de "não confie em mim para nada importante em hipótese alguma, por favor, pelo amor de tudo que é bom"...
18|Tá, tá... é, como eu disse, "Eu não sou uma prima donna." Eu danço em cima da porra de uma capa de banheira de hidromassagem. Sem problemas. Enfim, não conte a ninguém que eu perguntei, mas... ela aguenta o meu peso, né? Quer dizer... uma capa de banheira de hidromassagem é basicamente um travesseiro gigante e duro, né? Sabe de uma coisa, vamos ficar bem. Só por segurança, vamos colocar o Dinolicious na minha frente. Uma bunda dessas vai fazer nós dois afundar.
18.1|Uau! Isso sim é pensamento criativo. O jeito como as luzes da banheira de hidromassagem refletem no vidro. Que efeito legal! Talvez na sua vida passada você tenha sido cenógrafo. Ou uma tartaruga, ou um ninja. Você poderia ter sido muitas coisas, mas como cenógrafo, você é um mestre!
19|Caramba, você convenceu o Frank a fazer isso? Esse sim é um gorila e tanto.
20|Quero te avisar, no entanto. Quando estão nervosos, os fãs da Doja podem ser bem barulhentos. Não me entenda mal, eu os adoro, mas eles atacam os olhos. Espere uma experiência tipo apocalipse zumbi... só que um pouco mais violenta.
21|Você realmente completou o plano? A dança maluca de Dinolicious Danceapalooza da Doja vai se tornar realidade?
21.1|Bem, eu tenho minhas dúvidas, mas graças a você, a dança maluca de Dinolicious Danceapalooza da Doja vai se tornar realidade. Acho que só nos resta assistir ao show!
22|Relaxar? De jeito nenhum você vai relaxar. Eu preciso de você. Você é meu salva-vidas!
