[General]
Name|Frank

[Dialogues]
0|E aí, cara? Ficar longe do álcool?
0.1|E aí, cara. Espera aí, você não tá bêbado, né?
0.2|E aí, caraaa? Onde você conseguiu esse colete de pele de crocodilo? Você parece o Gasoline Dundee.
0.3|Não quero confusão, cara. Só... vamos ficar longe um do outro, a menos que você precise mesmo de alguma coisa.
0.4|Ah, é você. Não é à toa que minhas bolas estavam formigando. Estou de olho em você. Bem, eu realmente estou de olho em você, mas por algum motivo as pessoas se ofendem quando eu digo assim, então eu tenho dito "olhos" mesmo quando quero dizer bolas. Tanto faz. Não preciso me explicar. O que você quer?
0.5|Como vão as coisas, moça? Espera aí, você não está bêbada, está?
0,6|Como vão as coisas, moça? Fique longe do álcool?
1|Vou te matar, idiota!
2|Perfeito. Não gosto de drogas nem álcool, e não suporto idiotas que ficam bêbados em festas. Sinto que é meu dever dar uma surra em qualquer um que eu veja com uma bebida. Minha contribuição ajuda a tornar este mundo um lugar melhor.
3|Cara, ela é tão gostosa. Eu daria minhas bolas por uma noite com ela.
4|Guardei tudo neste armário, então é bem fácil de ficar de olho. Só estou esperando alguém tentar alguma coisa.
5|Vou dar uma surra nela!
6|Uhh. Qualquer um poderia ter tirado essa foto. Isso não prova nada. Sabe de uma coisa? Me dê uma foto da Katherine sem camisa e estamos prontos.
7|Nossa. Cara, ela é gostosa. Quero comprometimento total se vou quebrar meus princípios. Sabe de uma coisa? Você me tira uma foto nua de corpo inteiro e fechamos negócio.
8|Porra, cara! Eu não achei que você conseguiria! E nossa, ela é supergostosa. Mas desculpa, cara, não posso te dar o álcool. Eu estava brincando. Se eu abrir uma exceção pra você, vou ter que abrir uma pra todo mundo. Tenho certeza que você entende.
9|Ei, guarda isso! Qual é o seu problema?
10|Escuta isso, chupa rola! Eu vou te matar!
11|Ei, come merda! Eu te vejo com essa bebida! Você está morto!
11.1|*Frank te vê ficar bêbado. Um pouquinho de baba escorre do canto da boca dele.*
12|Que porra é essa, filho da puta? Você ficou escondendo essa merda de mim esse tempo todo? Vou te dar uma surra!
13|Meu Deus, você não fez isso. Que diabos há de errado com você? Vou te dar um chute na bunda!
14|Não, eu sei que não tenho chance com ela. Mas... parece que você tem uma chance. Talvez você possa me ajudar, afinal. Se você conseguisse fazer com que ele tirasse uma foto sem camisa, talvez ele desviasse o olhar se você bebesse um pouquinho desse álcool.
15|Agora é isso, cara! Não acredito que você conseguiu! Vou te dar passe livre. Que seja uma boa decisão. No entanto, vou ficar com esta câmera.
15.1|Você... é um deus entre os homens. Não sei como você conseguiu isso, mas... o que eu sei... são meus planos para amanhã à noite. Mmmm... bife, um pouco de iluminação ambiente... C&B! Limpa rápido, limpa bem. Deixa você macia, você vai querer esfregar duas vezes... Sai daqui! Um cara não pode ter um momento com seus pensamentos?!
15.2|Você... é uma lenda do caralho. Não sei como você conseguiu isso, mas... o que eu sei... são meus planos para amanhã à noite. Mmmm... bife, um pouco de iluminação ambiente... C&B! Limpa rápido, limpa bem. Deixa você macio, você vai querer esfregar duas vezes... Sai daqui! Um cara não consegue ter um momento com seus pensamentos?!
16|Que porra é essa, cara? Não estou interessado no seu hobby de fotografia. Traga algumas fotos da Katherine sem camisa ou sem álcool para você. Entendeu?
17|Meu Deus, cara. Eu não devia ter visto isso quando estava coletando todo o álcool. Fico feliz que você veja as coisas do mesmo jeito que eu. Vou tirar isso das suas mãos!
17.1|Porra, mais uma? Você, senhor, é uma grande ajuda para a minha causa, e sua lealdade a mim é evidente.
17.2|Nossa, cara. Onde você encontrou isso? Obrigado por me alertar sobre isso. Percebi seus esforços.
17.3|Droga, acho que não vi isso. Obrigado pela ajuda, cara. Agradeço muito.
18|É, acho que está tudo bem, mas não diga que nunca fiz nada por você.
19|Olha, amigo. Se houver a mínima chance de ter álcool nessa garrafa térmica, preciso levar isso muito a sério. Não posso verificar porque o cheiro de álcool me dá enjoo.
20|Não é à toa, amigo, mas não te conheço bem o suficiente. Talvez se você pudesse me mostrar que posso confiar em você, eu veja o que posso fazer.
21|Você me mostrou, amigo. Confio em você para tomar a decisão certa. Vá em frente e pegue. Se não tiver álcool aí, pode devolver a garrafa térmica.
22|Confio em você para me dizer a verdade sobre a situação.
