[General]
Name|Katherine

[Dialogues]
0|Precisa de alguma coisa?
1|Típico. Finja que está fazendo um favor para a garota e pegue umas bebidas para ela na esperança de que ela fique bêbada para perder as inibições e tomar decisões ruins, e aí você pode ter a chance de transar com alguém hoje à noite, certo? Acho que vou deixar passar.
2|Argh. Pode sonhar.
3|É, ele é meu namorado. Ele deveria me encontrar aqui, mas está sendo um babaca.
4|Que tal pararmos de conversar agora?
4.1|Hum. Desculpe, mas eu NÃO vou ter uma conversa com você assim. Eu não conseguiria me conter de rir. Vista uma roupa horrível. Babaca.
5|Que fofo. Queria que ele sentisse o mesmo.
6|Nossa, isso foi meio filosófico mesmo. Você pode até ter um cérebro escondido aí em algum lugar.
7|Sabe de uma coisa? Na verdade, eu até gostaria de fazer isso. Meu namorado ainda é um babaca.
8|Ah, certo, a camisinha antiálcool dele. Bem, as regras dele não me afetam porque ele não bate em garotas, então diga a ele que o álcool é para mim. Eu mesma iria buscar, mas meu sinal é bom neste quarto.
9|Argh. Eu não a suporto. Ela é tão burra. Mas, ei, veja o lado bom. Como ela tem mais inteligência que você, você tem mais chances de transar com ela hoje à noite do que eu.
10|Desculpe, tenho algumas mensagens e ligações importantes para atender que não quero perder, e este é o único quarto que tenho. Você vai ter que dar um jeito.
11|Boa ideia! Ok, estou pronta. Vamos, tire a foto!
12|Aquele Frank de merda. Que babaca. Que se foda. Parece que meu namorado não vem, e este parece ser o único jeito de eu beber álcool hoje à noite. Acho que uma foto rápida não vai fazer mal nenhum. Rápido, tira a foto!
13|Que diabos? Uma foto rápida é uma coisa, mas eu não vou ficar pelado com todas essas outras pessoas. Se você conseguir esvaziar a sala, eu te dou uma foto.
14|Hã. Acho que as pessoas desmaiadas e bêbadas no chão contam como se não estivessem na sala. Tudo bem. Se esse é o único jeito de eu conseguir uma bebida hoje à noite, que seja. Rápido, tira a foto.
15|Aquele pervertido de merda! Que se foda. Vou trocar umas palavras com ele!
16|Acho que isso não é da sua conta agora, né?
17|Então, se eu não estivesse de óculos, eu seria só uma vagabunda burra? Você não está se ajudando, cara. Tenho outras coisas pra fazer, se não se importa.
17.1|Que coisa mais idiota de se dizer. Não preciso parecer inteligente, EU SOU inteligente. No entanto, não posso dizer o mesmo sobre sua escolha de conversa fiada. Não consigo dizer se você está tentando fazer amizade ou flertar comigo, mas de qualquer forma, considere isso um fracasso.
18|Ops. Eu pareço que bebo essa merda?
19|Meu namorado está sendo mau o suficiente comigo hoje à noite, não preciso que você o piore, seu babaca. Guarde essa desculpa patética para um babaca!
20|Idiota de merda. Quem diabos você pensa que é? Espere até meu namorado descobrir isso! Vou te dar uma surra!
20.1|Sabe de uma coisa, eu nem vou esperar meu namorado. Vou te dar uma surra!
21|É, percebi que ele é o típico babaca. Se você conseguir dar um jeito nisso, me avise e eu ajudo se puder.
21.1|Ah, desculpe. Você queria um tapinha nas costas por isso? Ainda não vejo uma bebida na minha mão. Talvez se você tivesse insinuado isso, eu ficaria mais receptivo ao seu pedido de atenção.
22|Argh. O sinal de celular aqui é horrível! Tem que ter um lugar nesta casa com sinal melhor.
22.1|Que diabos? Não tenho sinal de celular. Tem algum lugar nesta casa com sinal decente?
22.2|Droga. Não tem sinal em nenhum outro lugar. Preciso tentar em outro lugar.
22.3|Você vai mesmo usar minhas próprias armas contra mim? Você não pode INVASORTAR a Rainha do Glamour. Quer dizer, pode; é muito irritante. Ou sai com essa coisa ou desliga.
23|Que idiota! Bem, eu não vou ficar pelado no meio desta festa com toda essa gente por perto. E o sinal de telefone nesta casa é horrível. Tenho muitas mensagens importantes para enviar, e parece que tenho o melhor sinal aqui. Me dê um bom serviço se quiser uma foto dos meus peitos.
24|Você é cego, idiota? Tem muita gente por aí. Não vou ficar pelado aqui.
25|Ah, é, parece que não tem ninguém por perto. Acho que essa é a sua chance. Certo. Me diga o que fazer.
26|Estou de olho em você. O que eu devo fazer?
27|Certo. Como eu devo posar?
28|Acho que você tem razão. Espero que o Frank faça.
29|Você está indo longe demais, cara. Esquece. Já terminei. E me dá uma bebida!
29.1|O Frank disse que queria meus peitos e você já os tem. Só posso presumir que ele está tentando conseguir mais de mim para seus próprios interesses pessoais. Não tenho ideia do que você está aprontando, mas desculpe, não vou morder a isca. Pegue o que você tem e me traga uma bebida. Minha paciência está se esgotando e você já bebeu o suficiente.
