[General]
Name|Liz Katz

[Dialogues]
0|Saudação genérica. Desculpe. Não, sério, oi.
0.1|Então esta é a casa da Madison, certo? Espero que ela não se importe se colocarmos a cabeça decapitada do primo dela na secadora para podermos descongelá-la o suficiente para termos uma pista de que estava enfiada na boca dela.
0.2|Quem enfiou esta faca no ar-condicionado, aposto que é um verdadeiro psicopata. Emocionante, não é?
0.3|Detetive Katz, às suas ordens! Hehehe, eu sempre quis dizer isso.
0.4|Aquela viagem de realidade virtual foi uma viagem maluca. Aquele Patrick deve ser um cara especial.
0.5|Essa coisa é abso... É como se o Larry de Jogador Nº 1 e o de Terno de Lazer tivessem um filho e o entregassem para adoção, e então esse filho fosse adotado por um gerente do McDonald's que trabalha no turno da noite e depois crescesse para ser a primeira pessoa daquela família a ir para uma faculdade estadual. Com peitos.
1|Ei, alguém viu a senhoria? Pode encontrá-la e dizer que estou aqui?
2|Você encontrou a senhoria?
3|Ah, certo, desculpe, habilidades sociais. Habilidades sociais! Meu nome é Liz Katz, prazer em conhecê-la. Desculpe o atraso. Você tem alguma dica de assassinato ou áreas onde não quer sangue?
4|Bem, quer dizer, eu não costumo ir para níveis de sangue sangrento de Mortal Kombat, mas às vezes, apesar das melhores intenções, sangue falso acaba em carpetes, paredes, camas, animais de estimação... então eu gostaria de saber quais são os limites.
5|Eu sou o Batman. Não, desculpe. Eu sou a Liz. Anfitriã extraordinária de mistérios de assassinato... para a sua festa, conforme solicitado.
6|Ah, bem, eu trouxe o recibo. O pedido online foi feito pelo Instagasm e dizia...
7|Bem, este é o endereço, recebi o pagamento integral e fui convidada para ir hoje à noite. Neste momento. Ok, estou um pouco atrasado. Estava morrendo de vontade de fazer esse show e proporcionar a alguém a experiência completa, e já estou aqui...
8|Bem, já recebi graças a um benfeitor misterioso, eu acho. E tenho um baú cheio de brinquedos e fantasias. Tive que sair de uma festa do escritório para vir aqui, então, hum... vamos aproveitar a festa.
9|Ei, um pouco de diversão nunca matou ninguém, né? E além disso, esse grandalhão aqui pode me mostrar o lugar assim que eu guardar meu baú.
9.1|Ei, um pouco de diversão nunca matou ninguém, né? E então, essa jovem charmosa aqui pode me mostrar o lugar assim que eu guardar meu baú.
10|Ainda não. Vou mantê-lo trancado. Tem muitos objetos de valor lá dentro e outras coisas que podem deixar a festa um pouco louca demais.
11|Ah, obrigada! Gostaria de poder modificá-lo com uma unidade antigravidade, mas a ideia de ter meu próprio Mole Marrocos não me incomoda...
12|Ok, talvez possamos abri-lo mais tarde, mas primeiro preciso dar uma volta pela casa e conhecer você e os outros melhor.
13|Bem, primeiro passo um tempo conhecendo os convidados, descobrindo quais são seus medos, entendendo melhor como a noite vai se desenrolar. E então, quando eles menos esperam... encenei uma cena pré-planejada para que todos soubessem que houve um assassinato e deixei pistas pela festa para ajudar a resolver o mistério. É divertido.
14|Não. A parte mais importante é ter uma história surpreendente com reviravoltas. Tipo, fulano matou a vítima pelo dinheiro. Ou pelo menos é o que eu faço você pensar. Mas então você percebe que o primo de fulano tentou incriminar fulano porque queria sua herança. Mas isso também é uma pista falsa. O amigo do primo de fulano era, na verdade, um assassino treinado secretamente e incriminou o primo de fulano para fazer parecer que incriminou fulano porque, na verdade, queria matar a vítima porque a vítima matou o barman local do parceiro de fulano. Você ainda está me seguindo? Incriminado
15|A melhor parte é o cosplay.
16|Sim, está tudo no meu porta-malas. Posso inventar e encenar qualquer aventura que eu quiser.
17|Como é?
18|Ah, obrigada. Guardo tudo o que preciso para minhas apresentações lá. E mais!
19|Pelo menos um deles cabe. Não me pergunte como sei disso.
20|Eu poderia te contar, mas aí teria que te matar.
21|E você não tem tato. Precisa quebrar o gelo primeiro.
22|Ah, guardo meus materiais de apresentação lá.
23|Oooh... fantasias, armas, brinquedos, biquínis, algemas, ursinhos de pelúcia, suprimentos de emergência: tudo o que você precisa para uma noite divertida. Menos uma plateia.
24|Ei, eu estava olhando para a jacuzzi lá fora e adoraria me molhar... na água. Bem, você quer vir comigo para a banheira?
25|Sim! Quer dizer, eu esperava que você me dissesse. Estou muito feliz que me deixaram vir aqui e que nos conhecemos. Você me faz sentir... bem, digamos, muito confortável, e eu gostaria de explorar mais esta festa, e talvez você também?
26|Você tem um maiô, né? Se eu te der a chave, você pode pegar o biquíni no porta-malas lá em cima? Vou sair para montar a jacuzzi.
