[General]
Name|Madison

[Dialogues]
0|Olá de novo. Você está perdido?
0.1|Oi, como vai? Está tudo bem? Posso fazer alguma coisa por você?
0.2|Uhh, eu te conheço?
0.3|Ei, você encontrou meu celular no banheiro? Acho que o deixei perto da pia.
0.4|Ei, como estão os nossos planos?
0.5|Não acredito que aquela garota nova simplesmente chegou e me bateu na cabeça com um pote de pimenta! Meus olhos estavam ardendo, o que parece letra de música pop, mas na verdade é só a descrição da pior dor que já senti. Enfim, tudo bem?
0.6|Seria bom se você pudesse me deixar em paz agora.
0.7|O que você quer?
1|Ayy, que fofo. É a Madison. Esta é a minha festa. Prazer em conhecê-lo!
2|Claro, vamos lá? No andar principal, lá em cima, e o primeiro à sua esquerda. Na verdade, deixei meu celular em algum lugar lá. Você poderia ser gentil e me trazer?
2.1|Tenho minhas próprias coisas para resolver, então descubra onde e como... cuidar das suas. Ah, e já que está nisso... Acho que deixei meu celular em um dos banheiros. Encontre e traga de volta para mim. Talvez assim você seja um pouco mais digna de atenção.
3|Meu Deus, você encontrou meu celular! Muito obrigada!
4|Ela está aprontando alguma, eu sei! Típica irmãzinha, né? Embora eu esteja um pouco nervosa porque esta é a minha festa, e se ela derrubar alguma coisa aqui, seria muito constrangedor para mim.
5|Deixa eu adivinhar, ela está te dando trabalho por causa da bebida? É, é o Frank. Eu nem sei quem o convidou para esta festa. Ele está meio sem graça agora, sem ninguém bebendo. Se você conseguisse fazê-lo ir embora, eu agradeceria muito.
6|Você não é corajosa? Acho que você meio que salvou o dia. Vou te dizer uma coisa. Me ajude a pregar uma peça na minha irmã, e pode ser que tenha mais do que um beijo esperando por você quando terminarmos, se é que você me entende.
6.1|Humm, é, obrigada por isso, mas você precisa provar que é um pouco menos... hm, como eu digo? Menos fodida, é, isso mesmo, antes que qualquer coisa remotamente parecida com uma recompensa esteja na mesa. Ok? Tchau.
7|Ok, é o seguinte. Eu já "acidentalmente" derramei cerveja na Ashley. Tranquei minhas roupas para que ela não encontre mais nada para vestir. Meu plano é primeiro fazê-la pensar que sua única opção é se despir e lavar roupa. Depois que colocarmos as roupas dela na máquina, só temos que forçá-la a sair e exibi-la nua na frente de todos os convidados da festa. Fale com a Ashley e veja se consegue fazer com que ela confie em você o suficiente para pegar as roupas dela e lavar, e depois dar um jeito de tirá-las de onde quer que ela esteja escondida.
8|Tentei dizer a ela que ninguém se importa com os peitos idiotas dela. Quer dizer, eu sei que os meus não são tão grandes quanto os dela, mas eu saio o tempo todo com metade do meu decote à mostra, e você não me vê chorando por isso. Ela é uma bebê grande. Ouvi dizer que ela também é lésbica, então talvez você não queira jogar a carta do bom samaritano com ela. Provavelmente não vai te levar a lugar nenhum.
8.1|Tentei dizer a ela que ninguém se importa com os peitos idiotas dela. Quer dizer, eu sei que os meus não são tão grandes quanto os dela, mas eu saio o tempo todo com metade do meu decote à mostra, e você não me vê chorando por isso. Eu sei que ela é sua amiga e tudo, mas ela está sendo uma menininha.
9|O Frank é um cara estranho. Ele está numa boa e aparentemente está levando todo mundo junto. Ele está estragando a minha festa porque estamos todos sóbrios. Eu nem sei quem o convidou, mas tenho medo de pedir para ele ir embora.
9.1 | O Frank é um cara estranho. Ele está numa boa, o que... eu simplesmente não entendo. Ainda bem que ele não está mais aqui para estragar a minha festa.
10 | Aquela vagabunda! Que bom que você escolheu o MEU lado! Vamos dar a ela um gostinho do próprio veneno, eu vou despi-la na frente de todo mundo! Você me ajuda?
11 | Ótimo! O plano é o seguinte. Vou "acidentalmente" derramar cerveja na Ashley. Depois que eu fizer isso, vou puxar assunto com ela.
12 | Meu Deus, foi incrível como ela desamarrou a blusa da Ashley! A expressão dela enquanto corria para o banheiro era impagável!
13 | Ugh, o que ela poderia querer? Certo, vou procurá-la. Obrigado.
14|Sério? Tenho uma coisa. Ei. Documentos importantes aí. Preciso ir buscá-los.
15|Que diabos? Esse é o meu diário! Vou encontrar o Frank. Você está morto, filho da puta!
15.1|Hã, que porra é essa? Quem disse que você podia vir aqui? E por que suas mãos sujas estão no meu cofre? Sai agora!
16|Ei, como vão as coisas?
16.1|Quem te convidou para a festa?
16.2|Encontre outro lugar para sair, idiota.
16.3|Ei, como vai?
16.4|Ei, bonitão. Como vai?
16.5|Esqueci que estou de fio dental. Quer verificar para mim?
