[General]
A Dildo|Um vibrador
A Phone|Um telefone
AC Unit|Ar-condicionado
Air Vent|Duto de ventilação
Airvent ArtRoom|Airvent ArtRoom
Airvent DiningRoom|Airvent DiningRoom
Airvent DownstairsGuestBathroom|Airvent DownstairsGuestBathroom
Airvent Kitchen|Airvent Kitchen
Airvent LaundryRoom|Airvent LaundryRoom
Airvent LivingRoom|Airvent LivingRoom
Airvent MasterBathroom|Airvent MasterBathroom
Airvent MasterBedroom|Airvent MasterBedroom
Airvent SpareRoom|Airvent SpareRoom
Airvent Study|Airvent Study
Airvent UpstairsGuestBathroom|Airvent UpstairsGuestBathroom
Amala|Amala
Amy|Amy
Arin|Arin
Armchair|Poltrona
Ashley's Clothes|Roupas da Ashley
Ashley's Panties|Calcinha da Ashley
Ashley's Top|Blusa da Ashley
Ashley|Ashley
Back|Voltar
Barricade|Barricada
Bathroom Door|Porta do banheiro
Bathroom Skeleton Key|Chave dos banheiros
Battery Pack|Baterias
Bed (L)|Cama (Esq.)
Bed (R)|Cama (Dir.)
Bedroom Closet Door (L)|Porta do armário (Esq.)
Bedroom Closet Door (R)|Porta do armário (Dir.)
Bedroom Door|Porta do quarto
Bike Lock|Cadeado de bicicleta
Bin|Recipiente
Blue Hair Dye|Tintura azul para cabelo
Blueprints|Projeto
Box of Nails|Caixa de pregos
Breaker Panel|Painel elétrico
Briefcase|Maleta
Brittney|Brittney
Broom|Vassoura
Bug Zapper|Raquete elétrica
Cabernet|Cabernet
Cabinet (L)|Vitrine (Esq.)
Cabinet (R)|Vitrine (Dir.)
Cabinet|Móvel
Camera|Câmera
Cat Picture|Foto de gato
Cell Phone Jammer|Bloqueador de sinal
Chardonnay|Chardonnay
Chicken Nuggets|Nuggets de frango
Chicken|Frango
Chocolate Bar|Barra de chocolate
Chocolate Syrup|Calda de chocolate
ChocolateBar|BarraDeChocolate
Closed Briefcase|Maleta fechada
Closed Toilet|Vaso sanitário fechado
Closet Door (L)|Porta do armário (Esq.)
Closet Door (R)|Porta do armário (Dir.)
ClothesCustomCantDoThatMessage|Não preciso lavar isso...
Clue #1|Pista 1
Clue #2|Pista 2
Clue #3|Pista 3
Clue #4|Pista 4
Clue #5|Pista 5
