[General]
Name|Vickie

[Dialogues]
0|E aí, garoto. Como vão as coisas?
0.1|Parece que você bebeu um pouco e está relaxando. É um bom começo! Só não exagere...
0.2|Você sabe que tem muito mais diversão DEBAIXO D'ÁGUA, né? Tanto faz, sentado ou não, você faz... e eu continuo fazendo... a menos que você queira.
0.3|Que porra é essa, uma audição? Olha, se você se interessa por pornografia, fale com um agente. Você acha que foi assim que eu consegui meus papéis, só chegando pelado na frente das pessoas? Pelo amor de Deus, seja profissional. Agora, tirando essa dica de profissional, como posso te ajudar?
0.4|Oiiiiii, tudo bem?
0.5|E aí, gata. Como vão as coisas?
1|Mais ou menos. Não é tão impressionante, cara. Já vi gozadas muito maiores no set.
2|Não me ameace com diversão.
3|Hoje! Pelo menos avise uma garota! A boca dela nem estava aberta...
4|Você sabe que frases assim não funcionam fora de filmes e videogames, né?
5|Ah, ela fez isso, né? A Rachael também pode ficar meio maluca hoje em dia, mas você devia ter visto ela quando a conheci. Digamos que eu tenho um talento especial para convencer garotas boas como a Rachael a baixarem a guarda e se divertirem um pouco.
6|É mesmo? Parece que você está oferecendo ajuda. Acredite, eu consigo transformar essa festa numa orgia quando eu fizer minha mágica, mas as condições precisam ser perfeitas. Que tal você me ajudar a criar o clima e eu ver o que posso fazer?
7|Só coisas ruins, eu espero...
8|Preste atenção na cadete! Antes de mais nada, essas garotas precisam se sentir confortáveis com você. E para isso, você precisa não ser babaca. Converse com o máximo de garotas que puder e tente conquistar o carinho delas. Você pode me avisar quando estiver pronto para passar para a próxima etapa, mas provavelmente pode descartar qualquer garota que tenha chateado por ter sido incluída.
8.1|Preste atenção, cadete! Antes de mais nada, não seja babaca. Essas pessoas precisam se sentir confortáveis e gostar de você de verdade, então se você realmente chatear alguém... não conte a essa pessoa, a menos que possa compensá-la. Converse com o máximo possível desses jovens espécimes magníficos e tente conquistá-los. Não conheço todos aqui, mas pelo que ouvi sobre alguns dos outros, como coloco essas personalidades gentis... "sensíveis" (bleh) nesta festa? Estou muito mais a fim de você do que dos outros. Entendeu? Ótimo. Me avise quando estiver pronto para passar para a próxima etapa.
9|Perfeito! Em quem você quer trabalhar primeiro?
9.1|Então, em quem você quer trabalhar primeiro?
9.2|Certo, cadete, apresente-se! Quem é o nosso alvo?
10|Desculpe, mas essa é a história toda por enquanto. Mas tem mais por vir!
11|Aww, que fofo. Você é meio tímido, né? Sem problemas. Podemos melhorar sua confiança antes de continuarmos.
12|Certo. Finja que sou uma das garotas. Me mostre seu jogo.
12.1|Certo. Vamos tentar de novo...
12.2|Certo. Finja que sou um dos convidados de hoje. Me mostre seu jogo.
13|Por favor... nunca mais diga isso para ninguém. Tipo. Pra sempre.
14|Sério, garoto? Estamos numa festa. Isso não é um bar. Nossa, você tem muito que aprender. Que bom que você veio me pedir ajuda. Esqueça as falas. Alguma delas já funcionou para você?
15|Certo. Não é uma cantada. Isso é progresso. Mas agora você parece estar em um daqueles jogos de visual novel mal traduzidos. Que tal um elogio?
16|Caramba, esse foi realmente um elogio fofo. Talvez ainda haja esperança para você! Vamos ver esse seu novo lado em ação. Boatos na festa me dizem que a Ashley está brava com você. Não sei o que você fez, mas se conseguir reconquistá-la, podemos chegar à parte divertida do seu treinamento.
16.1|Caramba, esse foi realmente um elogio fofo. Talvez ainda haja esperança para você! Vamos ver esse seu novo lado em ação. Boatos na festa me dizem que você e a Ashley são boas amigas. Mostre que você consegue seduzir uma garota. Dê a ela algo que você sabe que ela vai adorar.
17|Bem, é certamente bom que você tenha se interessado mais pelo assunto, mas tente não fazer comentários descarados sobre os peitos de alguém que você mal conhece. Ah, e a propósito, sim.
18|Eu nunca toquei nessa coisa, mas você se estereotipou, seu babaca.
19|Bom trabalho, cadete! Seu amigo Derek apostou 5 dólares que você ia cagar na cama. Ele não parece ter muita fé em você, mas eu tenho. O resto de nós vai demonstrar. Por que você não se junta a mim na banheira de hidromassagem e podemos continuar essa conversa com um pouco mais de conforto... e bem menos roupa?
19.1|Bom trabalho, cadete! Seu amigo Derek me disse que eu deveria ter feito esse desafio mais de uma vez, bom desafio. Talvez você realmente tenha o que é preciso, afinal. Por que você não se junta a mim na banheira de hidromassagem e podemos continuar esta conversa com um pouco mais de conforto... e com muito menos roupas?
